name,|V|,gir,bip,CayTy,|G_v|,solv,rad,AtNo,AtTy,AltExp,AltPer,AltSeq,CCa,CCb,MetaCircTy
HAT[256;2],256,8,b,Cay,2,solv,16,16,tight,1,16,[16],16,32,{2;4}
HAT[256;3],256,8,b,Cay,2,solv,32,32,tight,1,8,[32],8,64,{1;2;3;4}
HAT[256;4],256,8,b,Cay,2,solv,32,32,tight,1,8,[32],16,64,{1;2;3;4}
HAT[256;5],256,8,b,Cay,2,solv,16,8,---,2,8,[16;32],16,32,{1;3;4}
HAT[256;6],256,8,b,Cay,2,solv,4,1,loose,3,8,[4;16;32],8,16,{}
HAT[256;7],256,8,b,Cay,2,solv,4,1,loose,3,8,[4;16;32],8,16,{}
HAT[256;8],256,8,b,Cay,2,solv,4,1,loose,3,8,[4;16;32],8,16,{}
HAT[256;9],256,8,b,Cay,2,solv,4,1,loose,3,8,[4;16;32],8,16,{}
HAT[256;10],256,8,b,Cay,4,solv,4,1,loose,3,8,[4;16;32],8,16,{}
HAT[256;11],256,8,b,Cay,2,solv,4,1,loose,3,4,[4;32;64],8,16,{}
HAT[256;12],256,8,b,Cay,2,solv,8,4,---,3,4,[8;32;64],16,16,{}
HAT[258;1],258,6,b,Cay,2,solv,43,43,tight,1,6,[43],6,6,{2}
HAT[260;1],260,4,b,Cay,2,solv,65,65,tight,1,4,[65],4,52,{2;4}
HAT[260;2],260,4,b,Cay,2,solv,65,65,tight,1,4,[65],4,20,{2;4}
HAT[270;1],270,4,b,n-Cay,2,solv,15,5,---,2,2,[15;135],4,12,{}
HAT[270;2],270,6,b,Cay,2,solv,9,9,tight,1,30,[9],30,90,{1;2;3;4}
HAT[270;3],270,8,b,Cay,2,solv,45,45,tight,1,6,[45],18,30,{2;3;4}
HAT[270;4],270,6,b,Cay,2,solv,45,45,tight,1,6,[45],6,90,{1;2;3;4}
HAT[272;1],272,8,b,Cay,2,solv,17,17,tight,1,16,[17],16,16,{2}
HAT[272;2],272,8,b,Cay,2,solv,17,17,tight,1,16,[17],16,16,{2}
HAT[272;3],272,6,b,Cay,2,solv,17,17,tight,1,16,[17],16,16,{2}
HAT[272;4],272,8,b,Cay,2,solv,34,34,tight,1,8,[34],8,8,{2}
HAT[272;5],272,8,b,Cay,2,solv,34,34,tight,1,8,[34],16,16,{2;4}
HAT[272;6],272,4,b,Cay,2,solv,68,68,tight,1,4,[68],4,8,{2}
HAT[272;7],272,4,b,Cay,2,solv,68,68,tight,1,4,[68],4,8,{2}
HAT[273;1],273,6,nb,Cay,2,solv,13,13,tight,1,21,[13],21,42,{2}
HAT[273;2],273,6,nb,Cay,2,solv,7,7,tight,1,39,[7],39,78,{2}
HAT[273;3],273,6,nb,Cay,2,solv,91,91,tight,1,3,[91],6,39,{2;4}
HAT[273;4],273,3,nb,Cay,2,solv,91,91,tight,1,3,[91],3,6,{2}
